FID,id_objeto,nome,geometriaaproximada,nomeabrev,largura,extensao,operacional,situacaofisica,homologacao,tipopista,usopista,revestimento,geom
BCIM_Pista_Ponto_Pouso_P.38483,38483,Bonito,Não,,30,2000,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-56.45611111057011 -21.229444442993245)
BCIM_Pista_Ponto_Pouso_P.39045,39045,Bauru - Arealva (SJTC),Não,,45,2010,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-49.06874446970826 -22.15824671542519)
BCIM_Pista_Ponto_Pouso_P.39151,39151,Igarapé-Açu,Não,,30,1165,Sim,Construída,Sim,Pista de pouso,Desconhecido,Grama,POINT (-47.59916666756289 -1.127222223084232)
BCIM_Pista_Ponto_Pouso_P.39245,39245,Aeroclube de Aracaju,Não,,50,970,Sim,Construída,Sim,Pista de pouso,Público,Piçarra,POINT (-37.08305555625412 -10.903333333839837)
BCIM_Pista_Ponto_Pouso_P.39251,39251,Fazenda Rio Lages,Não,,18,900,Sim,Construída,Sim,Pista de pouso,Desconhecido,Piçarra,POINT (-51.7461111116353 -6.281111111350008)
BCIM_Pista_Ponto_Pouso_P.39265,39265,Bocaiúva,Não,,23,800,Sim,Construída,Sim,Pista de pouso,Desconhecido,Terra,POINT (-43.81555555583749 -17.133055555154122)
BCIM_Pista_Ponto_Pouso_P.39343,39343,Santana,Não,,23,970,Sim,Construída,Sim,Pista de pouso,Público,Piçarra,POINT (-44.03916666714058 -12.976111111108727)
BCIM_Pista_Ponto_Pouso_P.39357,39357,Brigadeiro Cabral,Não,,30,1540,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-44.8700000000891 -20.181944443680397)
BCIM_Pista_Ponto_Pouso_P.39369,39369,Sócrates Rezende,Não,,30,1340,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-38.94918540159926 -15.681037849488549)
BCIM_Pista_Ponto_Pouso_P.39383,39383,Eunápolis,Não,,24,1600,Sim,Construída,Sim,Pista de pouso,Desconhecido,Areia,POINT (-39.57727708022994 -16.32963256241271)
BCIM_Pista_Ponto_Pouso_P.39399,39399,Comandante Pachoal Patrocínio Filho,Não,,30,1600,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-45.933055555535496 -21.43166666572194)
BCIM_Pista_Ponto_Pouso_P.39409,39409,Francisco Sá,Não,,25,1000,Sim,Construída,Sim,Pista de pouso,Desconhecido,Terra,POINT (-43.469444444771 -16.438333333018427)
BCIM_Pista_Ponto_Pouso_P.39565,39565,Aeroclube de João Pessoa,Não,,30,1050,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-34.84250000085316 -7.091944445366532)
BCIM_Pista_Ponto_Pouso_P.39591,39591,Das Bandeirinhas,Não,,30,960,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-43.79805555565349 -20.738611110341463)
BCIM_Pista_Ponto_Pouso_P.39643,39643,Municipal de Linhares,Não,,40,1350,Sim,Construída,Sim,Pista de pouso,Público,Piçarra,POINT (-40.053977971315305 -19.36003359032357)
BCIM_Pista_Ponto_Pouso_P.39703,39703,Sebastião Carlos Leite,Não,,40,620,Sim,Construída,Sim,Pista de pouso,Público,Saibro,POINT (-43.02109112006669 -21.5422978534721)
BCIM_Pista_Ponto_Pouso_P.39737,39737,Coroatá,Não,,18,950,Sim,Construída,Sim,Pista de pouso,Desconhecido,Piçarra,POINT (-44.11555555641121 -4.141111111888806)
BCIM_Pista_Ponto_Pouso_P.39761,39761,Propriá,Não,,30,1200,Sim,Construída,Sim,Pista de pouso,Desconhecido,Asfalto/Concreto Asfáltico,POINT (-36.84014768668502 -10.258895093120517)
BCIM_Pista_Ponto_Pouso_P.39781,39781,Pastos Bons,Não,,16,1220,Sim,Construída,Sim,Pista de pouso,Desconhecido,Piçarra,POINT (-44.10028244703329 -6.615392980300073)
BCIM_Pista_Ponto_Pouso_P.39787,39787,Freitas Melro,Não,,20,1500,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-36.56694444517247 -10.26722222280715)
